Age_Group,Very_Safe,Fairly_Safe,Fairly_Unsafe,Very_Unsafe
25-44,34.965828413751,32.937333359866,36.994323467636,46.843655804527
45-64,32.796649741758,31.030463030258996,34.562836453258,46.903802987473
65-74,30.552903577337,28.217177271146,32.888629883526995,45.093262317653
75 and over,24.746320597704,22.187750303184,27.304890892223,40.885253380715
Total,33.58346888267,32.429857008843,34.737080756498,45.74608527401
