Public_Services_Footprint,Mean,Lower_CI,Upper_CI
Swansea Bay,5.6600263460519,5.4266962565118,5.8933564355919
Cwm Taf,5.7758172062215,5.5320340733549,6.019600339088
Cardiff and Vale,5.9554591294728,5.695578917939,6.2153393410065
Gwent,6.1397354556095,5.992061712463,6.287409198756
Total,5.8833116247697,5.803288587898,5.9633346616413
