Gender,Mean,Lower_CI,Upper_CI
Male,5.9522258891471,5.8244089582784,6.0800428200158
Female,5.816475819442,5.7188299829266,5.9141216559575
Total,5.8833116247697,5.803288587898,5.9633346616413
