Gender,Very_Safe,Fairly_Safe,Fairly_Unsafe,Very_Unsafe,Total
Male,43.211007647213,41.374152389858,45.047862904567,46.384842671678,44.550702298179004
Female,24.321936186751998,22.991207875681997,25.652664497822,45.131611246125,43.56262328948
Total,33.58346888267,32.429857008843,34.737080756498,45.74608527401,44.545210353007
