Urban / rural area,Mean,Lower_CI,Upper_CI
Urban,6.016321273737,5.9203560362641,6.1122865112098
Rural,5.483607831259,5.3453344314661,5.6218812310519
Total,5.8833116247697,5.803288587898,5.9633346616413
