Gender,Yes_%,Yes_Lower_CI,Yes_Upper_CI,No_%,No_Lower_CI,No_Upper_CI
Male,81.70214734592301,80.20637830089899,83.197916390947,18.297852654076998,16.802083609053,19.793621699101
Female,76.271585784669,75.013727700119,77.529443869219,23.728414215331,22.470556130781,24.986272299880998
Total,78.918265693687,77.95041752310699,79.886113864267,21.081734306313,20.113886135733,22.049582476893
